    0.230501628235934641E+04    0.343450679381913915E+01   -0.300073765080590582E+00    0.641524835048650210E+00    0.104990985341761811E+01    0.299953089754676006E+01    0.439970298507008692E+02    0.231702087080726926E+02   -0.201197056245052681E+04
    0.230501628235934641E+04    0.343450679381913915E+01   -0.300073765080590582E+00    0.641524835048650210E+00    0.104990985341761811E+01    0.299953089754676006E+01    0.439970298507008692E+02    0.231702087080726926E+02   -0.201197056245052681E+04
    0.230575732004179144E+04    0.348322731993817625E+01   -0.300488462538031909E+00    0.633916958492761973E+00    0.104992385294525348E+01    0.299932689535049590E+01   -0.489282173782563490E+02   -0.449348026272593160E+01   -0.201195771607886923E+04
    0.230520872543592213E+04    0.349118908724018162E+01   -0.302568138909881601E+00    0.625153929070646264E+00    0.104990792835798752E+01    0.299877488584144647E+01   -0.314619366450020372E+02    0.455867271314263434E+02   -0.201194936092842318E+04
    0.230520872543592213E+04    0.349118908724018162E+01   -0.302568138909881601E+00    0.625153929070646264E+00    0.104990792835798752E+01    0.299877488584144647E+01   -0.314619366450020372E+02    0.455867271314263434E+02   -0.201194936092842318E+04
    0.230577812062664361E+04    0.345777626943790484E+01   -0.300036427434491604E+00    0.629056267374986877E+00    0.104981376201279164E+01    0.299988315880773593E+01   -0.355562683776328612E+02   -0.447355594976001214E+02   -0.201192078050067835E+04
    0.230577812062664361E+04    0.345777626943790484E+01   -0.300036427434491604E+00    0.629056267374986877E+00    0.104981376201279164E+01    0.299988315880773593E+01   -0.355562683776328612E+02   -0.447355594976001214E+02   -0.201192078050067835E+04
    0.230488809715822072E+04    0.349722841039625987E+01   -0.302230449609823149E+00    0.631399391963128442E+00    0.104983098750865667E+01    0.299961088371653917E+01   -0.126866011462356312E+02    0.324536667464421242E+02   -0.201185765390060851E+04
    0.230444256223291723E+04    0.347823844780918101E+01   -0.300680425781153560E+00    0.631350896716664556E+00    0.104976413046150863E+01    0.299976381436893735E+01   -0.179567575177415861E+02   -0.402449743582282906E+02   -0.201182493421567165E+04
    0.230548867893870738E+04    0.344125420350529332E+01   -0.301959908920448217E+00    0.634379668012657660E+00    0.104987600916577950E+01    0.299996096519255229E+01    0.465212681667082677E+02   -0.233763924080917853E+02   -0.201180982052117724E+04
    0.230439688882104929E+04    0.349687430811211009E+01   -0.303161202588084433E+00    0.630139644336157989E+00    0.104998765570854991E+01    0.299921310175623512E+01   -0.351028947311425270E+02    0.790900032626110772E+01   -0.201172000471243859E+04
    0.230486538697943797E+04    0.345380084562916867E+01   -0.302819135488164415E+00    0.629524387961505671E+00    0.104996571552457363E+01    0.299948174178350513E+01    0.359754942525944585E+02    0.153273856562842070E+01   -0.201171256794238047E+04
    0.230615649700312269E+04    0.344628028221793148E+01   -0.299896798029565537E+00    0.631063284385875667E+00    0.104997629446613439E+01    0.299921077047695439E+01   -0.170984813561630560E+02   -0.744701929956223552E+01   -0.201169735141122737E+04
    0.230447196709488981E+04    0.343858674444825807E+01   -0.300893722348974324E+00    0.637157674524876039E+00    0.104993145386345343E+01    0.299978806828351896E+01    0.492350456589221039E+02   -0.151341272143821257E+02   -0.201168901112816684E+04
    0.230447196709488981E+04    0.343858674444825807E+01   -0.300893722348974324E+00    0.637157674524876039E+00    0.104993145386345343E+01    0.299978806828351896E+01    0.492350456589221039E+02   -0.151341272143821257E+02   -0.201168901112816684E+04
    0.230373823039899617E+04    0.349171880254315070E+01   -0.301660431775010562E+00    0.625869055159989474E+00    0.104994905303077024E+01    0.299999563706668271E+01   -0.197076700729949437E+02   -0.410391602759956058E+02   -0.201167811423992248E+04
    0.230617143320159312E+04    0.342498581214860875E+01   -0.299794177020851427E+00    0.635700091001558443E+00    0.104998703991228548E+01    0.299989473265252959E+01    0.572930093132557516E+01    0.459298470504341765E+02   -0.201165909739215999E+04
    0.230617143320159312E+04    0.342498581214860875E+01   -0.299794177020851427E+00    0.635700091001558443E+00    0.104998703991228548E+01    0.299989473265252959E+01    0.572930093132557516E+01    0.459298470504341765E+02   -0.201165909739215999E+04
    0.230573247522964630E+04    0.345760540125338789E+01   -0.301281874632034097E+00    0.632846143616611512E+00    0.104997587214024102E+01    0.299804526339699473E+01    0.335016076357094477E+02   -0.417519089248188209E+02   -0.201164769995266693E+04
    0.230563378579731398E+04    0.349738520547317755E+01   -0.300938571917919229E+00    0.620898923426258520E+00    0.104998748143928999E+01    0.299929534480399296E+01   -0.439871311544595684E+02   -0.203098927670019691E+00   -0.201160858367092783E+04
    0.230563378579731398E+04    0.349738520547317755E+01   -0.300938571917919229E+00    0.620898923426258520E+00    0.104998748143928999E+01    0.299929534480399296E+01   -0.439871311544595684E+02   -0.203098927670019691E+00   -0.201160858367092783E+04
    0.230500355872998352E+04    0.349616223205183418E+01   -0.300061110655284013E+00    0.633404245842543956E+00    0.104986392359169067E+01    0.299840644146531776E+01   -0.271146758286282470E+02    0.175373786513825536E+02   -0.201159639979261624E+04
    0.230500355872998352E+04    0.349616223205183418E+01   -0.300061110655284013E+00    0.633404245842543956E+00    0.104986392359169067E+01    0.299840644146531776E+01   -0.271146758286282470E+02    0.175373786513825536E+02   -0.201159639979261624E+04
    0.230495341236154309E+04    0.350911126292521613E+01   -0.300223952641002323E+00    0.628411600111604352E+00    0.104978178652188192E+01    0.299907178358731707E+01   -0.328515667364842159E+02    0.462031895729257371E+02   -0.201156472958220729E+04
    0.230495341236154309E+04    0.350911126292521613E+01   -0.300223952641002323E+00    0.628411600111604352E+00    0.104978178652188192E+01    0.299907178358731707E+01   -0.328515667364842159E+02    0.462031895729257371E+02   -0.201156472958220729E+04
    0.230560875415137662E+04    0.349832226925352963E+01   -0.301232213211471034E+00    0.632773831803771225E+00    0.104998681506019365E+01    0.299955195668292740E+01    0.675618135339207981E+01    0.112169568828645367E+02   -0.201154604047409475E+04
    0.230546930097127097E+04    0.344120030191013093E+01   -0.300973963626731067E+00    0.633226196256623020E+00    0.104988938106547569E+01    0.299909247843854221E+01   -0.172684086221734603E+02   -0.209191230638883212E+02   -0.201152088717030915E+04
    0.230546930097127097E+04    0.344120030191013093E+01   -0.300973963626731067E+00    0.633226196256623020E+00    0.104988938106547569E+01    0.299909247843854221E+01   -0.172684086221734603E+02   -0.209191230638883212E+02   -0.201152088717030915E+04
    0.230531290403576941E+04    0.347098259336170267E+01   -0.302692651217654873E+00    0.630459716305932227E+00    0.104992540711267379E+01    0.299916250152311514E+01   -0.918928229453401713E+01   -0.396647034886315453E+02   -0.201150495241598674E+04
    0.230531290403576941E+04    0.347098259336170267E+01   -0.302692651217654873E+00    0.630459716305932227E+00    0.104992540711267379E+01    0.299916250152311514E+01   -0.918928229453401713E+01   -0.396647034886315453E+02   -0.201150495241598674E+04
    0.230444543292734716E+04    0.347416873347750377E+01   -0.301306669561958451E+00    0.630726372623405585E+00    0.104990488223970080E+01    0.299931833362065925E+01    0.488249710105140764E+02   -0.140654801587148839E+02   -0.201148027577074777E+04
