    0.121243286132812500E+04    0.325266897678375244E+01   -0.557571101188659601E+00    0.435197401046752919E+00    0.104106605529785168E+01    0.205229270458221436E+01    0.452912390232086182E+02   -0.387162744998931885E+02   -0.113362121089402004E+07   -0.419195633965034720E+01    1
    0.171693238019943237E+04    0.315211778879165649E+01    0.295704460144042947E+00    0.596893763542175271E+00    0.101519963502883903E+01    0.864439636468887329E+00   -0.268896818161010742E+02    0.296766519546508789E+02   -0.112721097640599264E+07   -0.421195633965034677E+01    1
    0.121832808256149292E+04    0.445193004608154297E+01   -0.264461946487426769E+00    0.453511381149291959E+00    0.102700752019882202E+01    0.215545091032981873E+01   -0.205663025379180908E+02   -0.293808221817016602E+02   -0.112674260440565832E+07   -0.423195633965034279E+01    1
    0.121744308471679688E+04    0.384413039684295654E+01    0.515545892715454035E+00    0.330410718917846680E+00    0.103032180070877089E+01    0.200223791599273682E+01   -0.357165455818176270E+02   -0.766081213951110840E+01   -0.112639967809813539E+07   -0.425195633965034059E+01    1
    0.178712573051452637E+04    0.374524039030075073E+01   -0.780883312225342241E-01    0.556241226196289018E+00    0.101034557104110712E+01    0.160659539699554443E+01    0.466849803924560547E+02   -0.468648195266723633E+02   -0.112549335392848728E+07   -0.427195633965034727E+01    1
    0.151550010442733765E+04    0.341024285554885864E+01    0.640291929244994895E-01    0.647973227500915461E+00    0.101293436050415031E+01    0.289333301782608032E+01    0.364194214344024658E+02   -0.131843030452728271E+02   -0.111532856771477568E+07   -0.429195633965034329E+01    1
    0.145629113912582397E+04    0.521589237451553345E+01    0.230425214767456032E+00    0.645714044570922852E+00    0.104710145235061658E+01    0.140163692831993103E+01   -0.372745275497436523E+02    0.756230354309082031E+01   -0.110957146484337118E+07   -0.431195633965034109E+01    1
    0.129309538602828979E+04    0.502111947536468506E+01   -0.515118098258972146E+00    0.600640344619751021E+00    0.102557017326354982E+01    0.191215533018112183E+01   -0.248214244842529297E+02   -0.480653285980224609E+02   -0.110754107664523763E+07   -0.433195633965034244E+01    1
    0.186485592126846313E+04    0.449786001443862915E+01   -0.203074264526367176E+00    0.651987338066100985E+00    0.103751072645187392E+01    0.102107930183410645E+01   -0.370984137058258057E+02   -0.329240918159484863E+02   -0.110437092458641087E+07   -0.435195633965034201E+01    1
    0.159192712306976318E+04    0.350102525949478149E+01    0.154550027847289995E+00    0.459714007377624467E+00    0.104456205129623414E+01    0.177386972308158875E+01   -0.944979190826416016E+01   -0.925222635269165039E+01   -0.109756309466731525E+07   -0.437195633965034336E+01    1
    0.211406536102294922E+04    0.467025023698806763E+01   -0.585246992111206010E+00    0.396290016174316362E+00    0.103976139068603524E+01    0.686608582735061646E+00    0.392426848411560059E+01   -0.304371714591979980E+02   -0.109318192951043509E+07   -0.439195633965034649E+01    1
    0.228494350910186768E+04    0.450135958194732666E+01    0.245634698867797874E+00    0.349321651458740223E+00    0.103906435012817377E+01    0.640195935964584351E+00   -0.687106847763061523E+01   -0.197645187377929688E+02   -0.108942731177385687E+07   -0.441195633965034784E+01    1
    0.234244227409362793E+04    0.426722830533981323E+01   -0.732964038848876731E-01    0.345391535758972135E+00    0.102350937128067021E+01    0.119979295134544373E+01   -0.390541732311248779E+02   -0.135309755802154541E+02   -0.108218511643936578E+07   -0.443195633965034474E+01    1
    0.150009886026382446E+04    0.383260387182235718E+01   -0.480329704284667924E+00    0.664186859130859286E+00    0.102220097064971926E+01    0.182940843701362610E+01   -0.164594650268554688E+01    0.245313823223114014E+02   -0.107598922982721776E+07   -0.445195633965034343E+01    1
    0.144593434333801270E+04    0.406292301416397095E+01   -0.269600701332092296E+00    0.655307459831237726E+00    0.104926162004470824E+01    0.201994600892066956E+01   -0.306363105773925781E+02    0.253680884838104248E+02   -0.106959824168707384E+07   -0.447195633965034745E+01    1
    0.221178097724914551E+04    0.279742103815078735E+01   -0.757731914520263228E-01    0.409170246124267556E+00    0.103926388978958140E+01    0.149562510848045349E+01   -0.848149657249450684E+01    0.197904944419860840E+02   -0.105972435819669231E+07   -0.449195633965034435E+01    1
    0.261629199981689453E+04    0.334578526020050049E+01    0.225587368011474609E+00    0.415073108673095659E+00    0.104935605049133307E+01    0.620275467634201050E+00   -0.142705380916595459E+02   -0.213791787624359131E+02   -0.105575465636170027E+07   -0.451195633965034482E+01    1
    0.260821555852890015E+04    0.337807422876358032E+01   -0.294837713241576926E-01    0.415802550315856889E+00    0.103089666843414318E+01    0.191975849866867065E+01   -0.159304976463317871E+02    0.439878880977630615E+02   -0.103614883273502800E+07   -0.453195633965034705E+01    1
    0.127437444925308228E+04    0.513680869340896606E+01    0.285209512710571267E+00    0.464563679695129350E+00    0.103794919729232782E+01    0.250483068823814392E+01   -0.245714545249938965E+02    0.403253078460693359E+02   -0.103521839612595469E+07   -0.455195633965034396E+01    1
    0.144538149833679199E+04    0.434646987915039062E+01    0.390634918212890647E+00    0.627663993835449130E+00    0.101883402109146126E+01    0.229517999291419983E+01   -0.231392502784729004E+02   -0.443106710910797119E+02   -0.103476257678916678E+07   -0.457195633965034354E+01    1
    0.259924048185348511E+04    0.259927517175674438E+01   -0.514663481712341331E+00    0.636371421813964777E+00    0.102466666698455811E+01    0.647479921579360962E+00    0.939206480979919434E+01    0.163675308227539062E+02   -0.102166731379888265E+07   -0.459195633965034666E+01    1
    0.251872783899307251E+04    0.514048242568969727E+01   -0.412180423736572266E-01    0.503679037094116211E+00    0.104378259897232062E+01    0.176026585698127747E+01   -0.248912990093231201E+02    0.985097885131835938E+01   -0.101813032479738200E+07   -0.461195633965034801E+01    1
    0.207241315841674805E+04    0.468906700611114502E+01   -0.509537887573242143E+00    0.644764780998229980E+00    0.104572344541549689E+01    0.101382839679718018E+01    0.481632769107818604E+02    0.512502193450927734E+01   -0.100992791145063285E+07   -0.463195633965034759E+01    1
    0.157816985845565796E+04    0.274075597524642944E+01    0.548496079444885321E+00    0.612369370460510209E+00    0.103033115863800062E+01    0.244239616394042969E+01    0.237615525722503662E+02   -0.933413505554199219E+01   -0.100231720782409329E+07   -0.465195633965034716E+01    1
    0.142390158176422119E+04    0.262591379880905151E+01   -0.342976140975952137E+00    0.374110913276672341E+00    0.104398767948150639E+01    0.278319719433784485E+01    0.381433725357055664E+02    0.140574574470520020E+01   -0.992944940652493387E+06   -0.467195633965034407E+01    1
    0.137329751253128052E+04    0.548652833700180054E+01    0.403489351272582897E+00    0.507523989677429177E+00    0.104806398391723632E+01    0.223338159918785095E+01   -0.152614176273345947E+02   -0.279499709606170654E+02   -0.988905543787393137E+06   -0.469195633965034364E+01    1
    0.269906768798828125E+04    0.474671000242233276E+01    0.107471179962158159E+00    0.399324941635131825E+00    0.104549193143844610E+01    0.107409510016441345E+01    0.155787706375122070E+02   -0.206711590290069580E+02   -0.981204342086285003E+06   -0.471195633965034677E+01    1
    0.263566216230392456E+04    0.318131613731384277E+01    0.221349763870239302E+00    0.386365318298339810E+00    0.103755696773529049E+01    0.852690815925598145E+00    0.426140666007995605E+02    0.462470173835754395E+02   -0.951939733918422600E+06   -0.473195633965034634E+01    1
    0.228311306238174438E+04    0.517345625162124634E+01   -0.444244050979614280E+00    0.541981291770935014E+00    0.104700491189956679E+01    0.964136004447937012E+00   -0.455713272094726562E+02    0.391624569892883301E+01   -0.944083707224288839E+06   -0.475195633965034325E+01    1
    0.187185604572296143E+04    0.251168137788772583E+01   -0.482415676116943359E+00    0.320413494110107389E+00    0.104673305511474624E+01    0.162249165773391724E+01    0.208728551864624023E+02   -0.226067841053009033E+02   -0.923626605074017425E+06   -0.477195633965034460E+01    1
    0.152126904726028442E+04    0.303033745288848877E+01    0.407291364669799871E+00    0.410740303993225087E+00    0.102107873678207395E+01    0.267548757791519165E+01    0.385866522789001465E+02   -0.349377393722534180E+01   -0.921759356783204246E+06   -0.479195633965034506E+01    1
    0.184204909801483154E+04    0.360917013883590698E+01    0.511666274070739724E+00    0.410440587997436490E+00    0.103356538295745848E+01    0.160441654920578003E+01    0.473914444446563721E+02   -0.316912114620208740E+02   -0.917887508906844538E+06   -0.481195633965034641E+01    1
    0.298364635705947876E+04    0.541974562406539917E+01    0.255837392807006792E+00    0.634835982322692782E+00    0.102485220193862925E+01    0.693388462066650391E+00   -0.499271571636199951E+02   -0.314528167247772217E+02   -0.896571987825631048E+06   -0.483195633965034776E+01    1
    0.181988323926925659E+04    0.263074427843093872E+01   -0.179455661773681607E+00    0.542233610153198153E+00    0.102793826341629035E+01    0.240844774246215820E+01   -0.227992296218872070E+02    0.236236810684204102E+02   -0.893672953488319414E+06   -0.485195633965034734E+01    1
    0.184261715412139893E+04    0.398270028829574585E+01    0.410597419738769509E+00    0.597899293899536111E+00    0.102918951511383061E+01    0.192161011695861816E+01   -0.327458918094635010E+02   -0.425589323043823242E+02   -0.854121574846282601E+06   -0.487195633965034602E+01    1
