    0.199454421539122450E+04    0.437819207948671885E+01   -0.494508944820096052E+00    0.441176128269118450E+00   -0.149391071786911382E+02
    0.199085987160340619E+04    0.483789703619868128E+01   -0.279813719110069969E+00    0.203472659988821969E+00   -0.149280830850463389E+02
    0.193760744920287334E+04    0.394861741999886418E+01   -0.258641169857703745E+00    0.396928257060550460E+00   -0.149172094501147026E+02
    0.190160606386889935E+04    0.340401745482878626E+01   -0.295420730245598451E+00    0.797115231641663646E+00   -0.149155585059944382E+02
    0.197018830597873534E+04    0.484195473388846409E+01   -0.250137979932539667E+00    0.545063224171726923E+00   -0.149103026089658002E+02
    0.193634109434311586E+04    0.444450263044959826E+01   -0.377693769983717398E+00    0.452013571381671531E+00   -0.148960386250762085E+02
    0.192030923527827485E+04    0.367023336916037302E+01   -0.262110437682098962E+00    0.216775292106099970E+00   -0.148835154631114293E+02
    0.194991400264514209E+04    0.492544406936243462E+01   -0.395546749652766594E+00    0.538521232417256801E+00   -0.148740479657729949E+02
    0.194991400264514209E+04    0.492544406936243462E+01   -0.395546749652766594E+00    0.538521232417256801E+00   -0.148740479657729949E+02
    0.192314397288748091E+04    0.381570058152576363E+01   -0.315571238581912328E+00    0.379728520045440554E+00   -0.148511200977879323E+02
    0.196602425901553670E+04    0.406453611623694133E+01   -0.310887007291785533E+00    0.548985787806068659E+00   -0.148421183348507562E+02
    0.196602425901553670E+04    0.406453611623694133E+01   -0.310887007291785533E+00    0.548985787806068659E+00   -0.148421183348507562E+02
    0.189003709990390507E+04    0.347916153006330919E+01   -0.331123053951508928E+00    0.241909944521237374E+00   -0.148393619014305109E+02
    0.196987705190628662E+04    0.465268903618956209E+01   -0.474420400790734997E+00    0.494106758653116374E+00   -0.148385533537385985E+02
    0.197471318983737319E+04    0.465342799840840726E+01   -0.316581572892646435E+00    0.181191005204763722E+00   -0.148275436946723751E+02
    0.187382032889706625E+04    0.335668495935477118E+01   -0.366170523343241072E+00    0.304364873206410591E+00   -0.148206614234348173E+02
    0.195497729876718199E+04    0.424274715659199231E+01   -0.335431358778643829E+00    0.389221783273594135E+00   -0.147870044093001525E+02
    0.195335077493295398E+04    0.480644461383691368E+01   -0.271439086971957677E+00    0.230004674368381207E+00   -0.147672480486565014E+02
    0.194300719029125162E+04    0.448080014697231022E+01   -0.193991933931149385E+00    0.558450389594515317E+00   -0.147634836378703991E+02
    0.193674614039925291E+04    0.459380661858424943E+01   -0.488565051223696367E+00    0.266335188920952759E+00   -0.147551667916947054E+02
    0.193674614039925291E+04    0.459380661858424943E+01   -0.488565051223696367E+00    0.266335188920952759E+00   -0.147551667916947054E+02
    0.195200664752784678E+04    0.454503451520660207E+01   -0.336484821425040326E+00    0.521257452519706233E+00   -0.147482604854288972E+02
    0.196505044407795549E+04    0.473012941705082746E+01   -0.494956477750699564E+00    0.376371505120992156E+00   -0.147481046625291885E+02
    0.185996178752922879E+04    0.316408342341944682E+01   -0.236309765192350252E+00    0.692604186216021267E+00   -0.147418457489294656E+02
