    0.591946411132812500E+03    0.394835400581359863E+01    0.970066189765930176E-01    0.649534732103347778E+00   -0.556632057892783337E+03   -0.479515351937697876E+01    1
    0.592202472686767578E+03    0.466871368885040283E+01    0.640872418880462646E-01    0.491275560855865545E+00   -0.553106248566188583E+03   -0.480515351937698032E+01    1
    0.594146251678466797E+03    0.428437697887420654E+01   -0.230302989482879639E+00    0.577699476480484031E+00   -0.544072802868633289E+03   -0.481515351937698277E+01    1
    0.609360980987548828E+03    0.325047910213470459E+01    0.209858149290084839E+00    0.276907420158386264E+00   -0.542314329468554206E+03   -0.482515351937698345E+01    1
    0.631269073486328125E+03    0.484616923332214355E+01    0.849343270063400269E+00    0.668166333436965965E+00   -0.533484533063590902E+03   -0.483515351937698323E+01    1
    0.689972209930419922E+03    0.306163275241851807E+01   -0.128809809684753418E-01    0.131842517852783225E+00   -0.524706587372333729E+03   -0.484515351937698480E+01    1
    0.600349903106689453E+03    0.432699799537658691E+01    0.461999297142028809E+00    0.186763918399810824E+00   -0.521996170206172906E+03   -0.485515351937698814E+01    1
    0.707600021362304688E+03    0.323197996616363525E+01    0.430257856845855713E+00    0.798530006408691428E+00   -0.520280588748129162E+03   -0.486515351937698437E+01    1
    0.707902908325195312E+03    0.415798771381378174E+01    0.604717850685119629E+00    0.449417084455490112E+00   -0.510758286188563886E+03   -0.487515351937698149E+01    1
    0.740993118286132812E+03    0.391456604003906250E+01    0.592652648687362671E+00    0.698517870903015203E+00   -0.503212737197688796E+03   -0.488515351937698572E+01    1
    0.729852008819580078E+03    0.332069814205169678E+01    0.137294739484786987E+00    0.659772241115570091E+00   -0.501315444058021342E+03   -0.489515351937698817E+01    1
    0.640732574462890625E+03    0.444163250923156738E+01    0.930839419364929199E+00    0.533487808704376287E+00   -0.498849984184303594E+03   -0.490515351937698973E+01    1
    0.722567749023437500E+03    0.328859114646911621E+01   -0.408329069614410400E-01    0.448281961679458663E+00   -0.496119965106751579E+03   -0.491515351937698775E+01    1
    0.692945289611816406E+03    0.460026788711547852E+01   -0.300128936767578125E+00    0.542663586139679022E+00   -0.494980638277843525E+03   -0.492515351937698220E+01    1
    0.700951480865478516E+03    0.307806229591369629E+01    0.415704905986785889E+00    0.446039420366287298E+00   -0.492360124189810961E+03   -0.493515351937698199E+01    1
    0.675972270965576172E+03    0.404920387268066406E+01   -0.329319506883621216E+00    0.290677052736282360E+00   -0.491401719010382294E+03   -0.494515351937698799E+01    1
    0.734678649902343750E+03    0.430809748172760010E+01   -0.244699925184249878E+00    0.697182601690292447E+00   -0.477610570933195163E+03   -0.495515351937699045E+01    1
    0.679667472839355469E+03    0.362918424606323242E+01    0.531900793313980103E+00    0.487608253955841064E+00   -0.471030307739197156E+03   -0.496515351937698846E+01    1
    0.720578098297119141E+03    0.454491233825683594E+01   -0.450723350048065186E+00    0.406624132394790672E+00   -0.463683551772470253E+03   -0.497515351937698824E+01    1
    0.736623859405517578E+03    0.482784402370452881E+01    0.922837048768997192E+00    0.683640903234481900E+00   -0.454698122908373250E+03   -0.498515351937698359E+01    1
    0.854984092712402344E+03    0.358252382278442383E+01    0.583361387252807617E-01    0.633733928203582764E+00   -0.448016887442585301E+03   -0.499515351937698426E+01    1
    0.788327884674072266E+03    0.377465140819549561E+01    0.377563804388046265E+00    0.356288617849349953E+00   -0.446737578820589079E+03   -0.500515351937698583E+01    1
    0.699621677398681641E+03    0.409819185733795166E+01   -0.476279258728027344E+00    0.145540761947631853E+00   -0.446297999586441449E+03   -0.501515351937698384E+01    1
    0.761393070220947266E+03    0.489710998535156250E+01   -0.302662372589111328E+00    0.256549894809722900E+00   -0.439702536939069205E+03   -0.502515351937698451E+01    1
    0.862834358215332031E+03    0.354472804069519043E+01   -0.544737279415130615E-01    0.647855162620544434E+00   -0.432638756276913853E+03   -0.503515351937698608E+01    1
    0.870449733734130859E+03    0.416059350967407227E+01    0.192845165729522705E+00    0.758727860450744696E+00   -0.426967139603517126E+03   -0.504515351937698409E+01    1
    0.861753177642822266E+03    0.434527373313903809E+01    0.611611306667327881E-01    0.367346531152725198E+00   -0.420774008684290834E+03   -0.505515351937698298E+01    1
    0.831341648101806641E+03    0.358685684204101562E+01   -0.176321834325790405E+00    0.273992466926574751E+00   -0.406162797307802578E+03   -0.506515351937698455E+01    1
    0.823764610290527344E+03    0.465688884258270264E+01    0.985601544380187988E+00    0.641840505599975630E+00   -0.404730029821369044E+03   -0.507515351937697989E+01    1
    0.909746551513671875E+03    0.349996507167816162E+01   -0.491371154785156250E-01    0.306396621465683028E+00   -0.397136712079618235E+03   -0.508515351937698501E+01    1
    0.986475849151611328E+03    0.349179494380950928E+01    0.102349668741226196E+00    0.262998390197753951E+00   -0.394645188794496619E+03   -0.509515351937699013E+01    1
    0.828010845184326172E+03    0.484994220733642578E+01    0.248715579509735107E+00    0.448587834835052490E+00   -0.391431899269648852E+03   -0.510515351937699080E+01    1
    0.827469348907470703E+03    0.420456802845001221E+01   -0.418781459331512451E+00    0.314943838119506880E+00   -0.389682402986429963E+03   -0.511515351937698348E+01    1
    0.918889331817626953E+03    0.315495920181274414E+01   -0.118268728256225586E+00    0.554907357692718595E+00   -0.389100620147356324E+03   -0.512515351937698238E+01    1
    0.930251407623291016E+03    0.456802141666412354E+01    0.645808041095733643E+00    0.785543018579483054E+00   -0.380486643110349178E+03   -0.513515351937698394E+01    1
    0.742288970947265625E+03    0.317317879199981689E+01    0.957893520593643188E+00    0.245045000314712547E+00   -0.376632688145121278E+03   -0.514515351937697751E+01    1
    0.839086246490478516E+03    0.445359051227569580E+01    0.950771272182464600E+00    0.136324721574783342E+00   -0.373275784866262825E+03   -0.515515351937698085E+01    1
    0.902659702301025391E+03    0.434092831611633301E+01   -0.197453707456588745E+00    0.615561407804489202E+00   -0.372866328782677158E+03   -0.516515351937698330E+01    1
    0.953952598571777344E+03    0.367276632785797119E+01    0.934615254402160645E+00    0.120356982946395880E+00   -0.345327542664045211E+03   -0.517515351937698220E+01    1
    0.976484203338623047E+03    0.376660239696502686E+01    0.338746339082717896E+00    0.319767087697982788E+00   -0.342493457213448323E+03   -0.518515351937698643E+01    1
    0.932319355010986328E+03    0.361462569236755371E+01    0.835796236991882324E+00    0.633480834960937544E+00   -0.340477204811924025E+03   -0.519515351937698533E+01    1
